=== MLP Training ===
=== Training MLP ===
[85/1000] TrainLoss: 0.000639  ValLoss: 0.000105  Val RMSE: 0.0103  Val NMSE: 0.0038  Val NMSE_dB: -24.224107 dB  TrainTime: 1.23s
[86/1000] TrainLoss: 0.000640  ValLoss: 0.000085  Val RMSE: 0.0092  Val NMSE: 0.0031  Val NMSE_dB: -25.141287 dB  TrainTime: 1.33s
[87/1000] TrainLoss: 0.000636  ValLoss: 0.000109  Val RMSE: 0.0104  Val NMSE: 0.0039  Val NMSE_dB: -24.082615 dB  TrainTime: 1.24s
[88/1000] TrainLoss: 0.000641  ValLoss: 0.000112  Val RMSE: 0.0106  Val NMSE: 0.0040  Val NMSE_dB: -23.972537 dB  TrainTime: 3.50s
[89/1000] TrainLoss: 0.000639  ValLoss: 0.000108  Val RMSE: 0.0104  Val NMSE: 0.0039  Val NMSE_dB: -24.111517 dB  TrainTime: 1.16s
[90/1000] TrainLoss: 0.000633  ValLoss: 0.000107  Val RMSE: 0.0103  Val NMSE: 0.0038  Val NMSE_dB: -24.167826 dB  TrainTime: 1.26s
[91/1000] TrainLoss: 0.000635  ValLoss: 0.000109  Val RMSE: 0.0104  Val NMSE: 0.0039  Val NMSE_dB: -24.097858 dB  TrainTime: 1.18s
[92/1000] TrainLoss: 0.000636  ValLoss: 0.000112  Val RMSE: 0.0106  Val NMSE: 0.0040  Val NMSE_dB: -23.970541 dB  TrainTime: 1.19s
[93/1000] TrainLoss: 0.000631  ValLoss: 0.000100  Val RMSE: 0.0100  Val NMSE: 0.0036  Val NMSE_dB: -24.468139 dB  TrainTime: 1.20s
[94/1000] TrainLoss: 0.000637  ValLoss: 0.000110  Val RMSE: 0.0105  Val NMSE: 0.0040  Val NMSE_dB: -24.029353 dB  TrainTime: 1.15s
[95/1000] TrainLoss: 0.000632  ValLoss: 0.000097  Val RMSE: 0.0098  Val NMSE: 0.0035  Val NMSE_dB: -24.604590 dB  TrainTime: 1.07s
[96/1000] TrainLoss: 0.000636  ValLoss: 0.000096  Val RMSE: 0.0098  Val NMSE: 0.0035  Val NMSE_dB: -24.620583 dB  TrainTime: 1.35s
[97/1000] TrainLoss: 0.000633  ValLoss: 0.000101  Val RMSE: 0.0100  Val NMSE: 0.0036  Val NMSE_dB: -24.426689 dB  TrainTime: 1.26s
[98/1000] TrainLoss: 0.000638  ValLoss: 0.000090  Val RMSE: 0.0095  Val NMSE: 0.0032  Val NMSE_dB: -24.928700 dB  TrainTime: 1.22s
[99/1000] TrainLoss: 0.000629  ValLoss: 0.000106  Val RMSE: 0.0103  Val NMSE: 0.0038  Val NMSE_dB: -24.208408 dB  TrainTime: 1.19s
[100/1000] TrainLoss: 0.000632  ValLoss: 0.000134  Val RMSE: 0.0116  Val NMSE: 0.0048  Val NMSE_dB: -23.188038 dB  TrainTime: 1.09s
[101/1000] TrainLoss: 0.000633  ValLoss: 0.000090  Val RMSE: 0.0095  Val NMSE: 0.0032  Val NMSE_dB: -24.903944 dB  TrainTime: 1.10s
[102/1000] TrainLoss: 0.000633  ValLoss: 0.000099  Val RMSE: 0.0099  Val NMSE: 0.0035  Val NMSE_dB: -24.513195 dB  TrainTime: 1.33s
[103/1000] TrainLoss: 0.000630  ValLoss: 0.000110  Val RMSE: 0.0105  Val NMSE: 0.0039  Val NMSE_dB: -24.055613 dB  TrainTime: 1.24s
[104/1000] TrainLoss: 0.000635  ValLoss: 0.000132  Val RMSE: 0.0115  Val NMSE: 0.0047  Val NMSE_dB: -23.258616 dB  TrainTime: 1.21s
