=== Training CNN ===
[104/1000] TrainLoss: 0.000020  ValLoss: 0.000026  Val RMSE: 0.0051  Val NMSE: 0.0005  Val NMSE_dB: -32.775947 dB  TrainTime: 1.16s
[105/1000] TrainLoss: 0.000019  ValLoss: 0.000029  Val RMSE: 0.0053  Val NMSE: 0.0006  Val NMSE_dB: -32.395720 dB  TrainTime: 1.14s
[106/1000] TrainLoss: 0.000025  ValLoss: 0.000023  Val RMSE: 0.0048  Val NMSE: 0.0005  Val NMSE_dB: -33.402898 dB  TrainTime: 1.15s
[107/1000] TrainLoss: 0.000025  ValLoss: 0.000026  Val RMSE: 0.0051  Val NMSE: 0.0005  Val NMSE_dB: -32.749814 dB  TrainTime: 1.27s
[108/1000] TrainLoss: 0.000025  ValLoss: 0.000032  Val RMSE: 0.0057  Val NMSE: 0.0007  Val NMSE_dB: -31.849172 dB  TrainTime: 1.18s
[109/1000] TrainLoss: 0.000023  ValLoss: 0.000062  Val RMSE: 0.0079  Val NMSE: 0.0012  Val NMSE_dB: -29.058602 dB  TrainTime: 1.03s
[110/1000] TrainLoss: 0.000024  ValLoss: 0.000069  Val RMSE: 0.0083  Val NMSE: 0.0014  Val NMSE_dB: -28.556268 dB  TrainTime: 1.22s
[111/1000] TrainLoss: 0.000027  ValLoss: 0.000031  Val RMSE: 0.0056  Val NMSE: 0.0006  Val NMSE_dB: -32.065887 dB  TrainTime: 1.13s
[112/1000] TrainLoss: 0.000021  ValLoss: 0.000132  Val RMSE: 0.0115  Val NMSE: 0.0027  Val NMSE_dB: -25.742837 dB  TrainTime: 1.14s
[113/1000] TrainLoss: 0.000025  ValLoss: 0.000090  Val RMSE: 0.0095  Val NMSE: 0.0018  Val NMSE_dB: -27.433285 dB  TrainTime: 0.32s
[114/1000] TrainLoss: 0.000020  ValLoss: 0.000016  Val RMSE: 0.0039  Val NMSE: 0.0003  Val NMSE_dB: -35.047602 dB  TrainTime: 1.28s
[115/1000] TrainLoss: 0.000033  ValLoss: 0.000011  Val RMSE: 0.0033  Val NMSE: 0.0002  Val NMSE_dB: -36.712970 dB  TrainTime: 1.11s
[116/1000] TrainLoss: 0.000017  ValLoss: 0.000011  Val RMSE: 0.0033  Val NMSE: 0.0002  Val NMSE_dB: -36.482244 dB  TrainTime: 1.12s
[117/1000] TrainLoss: 0.000033  ValLoss: 0.000086  Val RMSE: 0.0093  Val NMSE: 0.0017  Val NMSE_dB: -27.629357 dB  TrainTime: 1.22s
[118/1000] TrainLoss: 0.000015  ValLoss: 0.000065  Val RMSE: 0.0080  Val NMSE: 0.0013  Val NMSE_dB: -28.857074 dB  TrainTime: 1.43s
[119/1000] TrainLoss: 0.000023  ValLoss: 0.000015  Val RMSE: 0.0038  Val NMSE: 0.0003  Val NMSE_dB: -35.346018 dB  TrainTime: 1.19s
[120/1000] TrainLoss: 0.000019  ValLoss: 0.000035  Val RMSE: 0.0059  Val NMSE: 0.0007  Val NMSE_dB: -31.496341 dB  TrainTime: 1.11s
