=== Training LWM ===
[86/1000] TrainLoss: 0.000027  ValLoss: 0.000120  Val RMSE: 0.0109  Val NMSE: 0.0043  Val NMSE_dB: -23.674348 dB  TrainTime: 11.67s
[87/1000] TrainLoss: 0.000071  ValLoss: 0.000005  Val RMSE: 0.0022  Val NMSE: 0.0002  Val NMSE_dB: -37.433747 dB  TrainTime: 14.76s
[88/1000] TrainLoss: 0.000015  ValLoss: 0.000005  Val RMSE: 0.0022  Val NMSE: 0.0002  Val NMSE_dB: -37.778025 dB  TrainTime: 11.33s
[89/1000] TrainLoss: 0.000013  ValLoss: 0.000005  Val RMSE: 0.0021  Val NMSE: 0.0002  Val NMSE_dB: -37.881104 dB  TrainTime: 13.99s
[90/1000] TrainLoss: 0.000014  ValLoss: 0.000003  Val RMSE: 0.0016  Val NMSE: 0.0001  Val NMSE_dB: -40.182621 dB  TrainTime: 11.60s
[91/1000] TrainLoss: 0.000018  ValLoss: 0.000005  Val RMSE: 0.0023  Val NMSE: 0.0002  Val NMSE_dB: -37.173103 dB  TrainTime: 11.42s
[92/1000] TrainLoss: 0.000064  ValLoss: 0.000003  Val RMSE: 0.0018  Val NMSE: 0.0001  Val NMSE_dB: -39.330844 dB  TrainTime: 14.58s
[93/1000] TrainLoss: 0.000013  ValLoss: 0.000002  Val RMSE: 0.0013  Val NMSE: 0.0001  Val NMSE_dB: -42.063305 dB  TrainTime: 11.40s
[94/1000] TrainLoss: 0.000011  ValLoss: 0.000003  Val RMSE: 0.0018  Val NMSE: 0.0001  Val NMSE_dB: -39.369856 dB  TrainTime: 11.54s
[95/1000] TrainLoss: 0.000014  ValLoss: 0.000016  Val RMSE: 0.0040  Val NMSE: 0.0006  Val NMSE_dB: -32.312519 dB  TrainTime: 14.33s
[96/1000] TrainLoss: 0.000015  ValLoss: 0.000008  Val RMSE: 0.0027  Val NMSE: 0.0003  Val NMSE_dB: -35.682930 dB  TrainTime: 11.38s
[97/1000] TrainLoss: 0.000019  ValLoss: 0.000017  Val RMSE: 0.0042  Val NMSE: 0.0006  Val NMSE_dB: -32.027068 dB  TrainTime: 11.57s
[98/1000] TrainLoss: 0.000038  ValLoss: 0.000003  Val RMSE: 0.0017  Val NMSE: 0.0001  Val NMSE_dB: -39.722463 dB  TrainTime: 14.34s
[99/1000] TrainLoss: 0.000010  ValLoss: 0.000001  Val RMSE: 0.0011  Val NMSE: 0.0000  Val NMSE_dB: -43.397962 dB  TrainTime: 11.39s
[100/1000] TrainLoss: 0.000019  ValLoss: 0.000098  Val RMSE: 0.0099  Val NMSE: 0.0035  Val NMSE_dB: -24.531850 dB  TrainTime: 11.67s
[101/1000] TrainLoss: 0.000029  ValLoss: 0.000002  Val RMSE: 0.0016  Val NMSE: 0.0001  Val NMSE_dB: -40.508854 dB  TrainTime: 14.32s
[102/1000] TrainLoss: 0.000015  ValLoss: 0.000014  Val RMSE: 0.0037  Val NMSE: 0.0005  Val NMSE_dB: -33.107828 dB  TrainTime: 11.18s
[103/1000] TrainLoss: 0.000016  ValLoss: 0.000005  Val RMSE: 0.0023  Val NMSE: 0.0002  Val NMSE_dB: -37.187169 dB  TrainTime: 14.37s
[104/1000] TrainLoss: 0.000013  ValLoss: 0.000011  Val RMSE: 0.0033  Val NMSE: 0.0004  Val NMSE_dB: -34.014862 dB  TrainTime: 11.45s
[105/1000] TrainLoss: 0.000017  ValLoss: 0.000052  Val RMSE: 0.0072  Val NMSE: 0.0019  Val NMSE_dB: -27.304300 dB  TrainTime: 11.33s
[106/1000] TrainLoss: 0.000012  ValLoss: 0.000009  Val RMSE: 0.0031  Val NMSE: 0.0003  Val NMSE_dB: -34.693573 dB  TrainTime: 14.56s
[107/1000] TrainLoss: 0.000015  ValLoss: 0.000091  Val RMSE: 0.0095  Val NMSE: 0.0033  Val NMSE_dB: -24.874245 dB  TrainTime: 11.21s
[108/1000] TrainLoss: 0.000020  ValLoss: 0.000002  Val RMSE: 0.0014  Val NMSE: 0.0001  Val NMSE_dB: -41.456824 dB  TrainTime: 11.50s
[109/1000] TrainLoss: 0.000009  ValLoss: 0.000002  Val RMSE: 0.0016  Val NMSE: 0.0001  Val NMSE_dB: -40.516314 dB  TrainTime: 14.50s
[110/1000] TrainLoss: 0.000015  ValLoss: 0.000003  Val RMSE: 0.0017  Val NMSE: 0.0001  Val NMSE_dB: -40.024552 dB  TrainTime: 11.22s
[111/1000] TrainLoss: 0.000017  ValLoss: 0.000007  Val RMSE: 0.0026  Val NMSE: 0.0002  Val NMSE_dB: -36.287938 dB  TrainTime: 11.84s
[112/1000] TrainLoss: 0.000010  ValLoss: 0.000008  Val RMSE: 0.0029  Val NMSE: 0.0003  Val NMSE_dB: -35.197716 dB  TrainTime: 14.17s
[113/1000] TrainLoss: 0.000025  ValLoss: 0.000004  Val RMSE: 0.0020  Val NMSE: 0.0002  Val NMSE_dB: -38.232682 dB  TrainTime: 11.17s
[114/1000] TrainLoss: 0.000006  ValLoss: 0.000002  Val RMSE: 0.0013  Val NMSE: 0.0001  Val NMSE_dB: -42.058062 dB  TrainTime: 12.07s
[115/1000] TrainLoss: 0.000012  ValLoss: 0.000009  Val RMSE: 0.0030  Val NMSE: 0.0003  Val NMSE_dB: -34.874374 dB  TrainTime: 13.90s
[116/1000] TrainLoss: 0.000012  ValLoss: 0.000010  Val RMSE: 0.0031  Val NMSE: 0.0003  Val NMSE_dB: -34.616240 dB  TrainTime: 11.44s
[117/1000] TrainLoss: 0.000010  ValLoss: 0.000012  Val RMSE: 0.0035  Val NMSE: 0.0004  Val NMSE_dB: -33.682847 dB  TrainTime: 14.52s
[118/1000] TrainLoss: 0.000011  ValLoss: 0.000010  Val RMSE: 0.0031  Val NMSE: 0.0003  Val NMSE_dB: -34.643563 dB  TrainTime: 11.20s
[119/1000] TrainLoss: 0.000012  ValLoss: 0.000002  Val RMSE: 0.0015  Val NMSE: 0.0001  Val NMSE_dB: -41.193004 dB  TrainTime: 11.62s
[120/1000] TrainLoss: 0.000009  ValLoss: 0.000020  Val RMSE: 0.0045  Val NMSE: 0.0007  Val NMSE_dB: -31.350284 dB  TrainTime: 14.42s
[121/1000] TrainLoss: 0.000052  ValLoss: 0.000002  Val RMSE: 0.0014  Val NMSE: 0.0001  Val NMSE_dB: -41.640214 dB  TrainTime: 11.33s
[122/1000] TrainLoss: 0.000006  ValLoss: 0.000002  Val RMSE: 0.0013  Val NMSE: 0.0001  Val NMSE_dB: -42.233303 dB  TrainTime: 11.51s
[123/1000] TrainLoss: 0.000007  ValLoss: 0.000007  Val RMSE: 0.0026  Val NMSE: 0.0002  Val NMSE_dB: -36.231023 dB  TrainTime: 14.44s
[124/1000] TrainLoss: 0.000007  ValLoss: 0.000003  Val RMSE: 0.0016  Val NMSE: 0.0001  Val NMSE_dB: -40.371812 dB  TrainTime: 11.77s
[125/1000] TrainLoss: 0.000009  ValLoss: 0.000003  Val RMSE: 0.0018  Val NMSE: 0.0001  Val NMSE_dB: -39.380095 dB  TrainTime: 11.77s
[126/1000] TrainLoss: 0.000008  ValLoss: 0.000064  Val RMSE: 0.0080  Val NMSE: 0.0023  Val NMSE_dB: -26.376049 dB  TrainTime: 13.83s
[127/1000] TrainLoss: 0.000014  ValLoss: 0.000002  Val RMSE: 0.0013  Val NMSE: 0.0001  Val NMSE_dB: -41.862096 dB  TrainTime: 11.72s
